Samples	HPLC_filename	ASCII_filename	ATTRIBUTE_classification	BioAct_filename
MIXSTD	MIXSTD	ASCIIData001	MIXSTD	MIXSTD
CATECHIN	CATECHIN	ASCIIData002	STD	CATECHIN
EPICATECHIN	EPICATECHIN	ASCIIData003	STD	EPICATECHIN
CATECHIN HIDR	CATECHIN HIDR	ASCIIData004	STD	CATECHIN HIDR
QUERCETIN	QUERCETIN	ASCIIData005	STD	QUERCETIN
KAEMPFEROL	KAEMPFEROL	ASCIIData006	STD	KAEMPFEROL
CHLOROGENIC ACID	CHLOROGENIC ACID	ASCIIData007	STD	CHLOROGENIC ACID
CAFEIC ACID	CAFEIC ACID	ASCIIData008	STD	CAFEIC ACID
CURCUMIN	CURCUMIN	ASCIIData009	STD	CURCUMIN
CAFFEINE	CAFFEINE	ASCIIData010	STD	CAFFEINE
CHIMARRÃO_3	CHIMARRÃO_3	ASCIIData011	CHIMARRÃO	CHIMARRÃO_3
CHA_VERDE_3	CHA_VERDE_3	ASCIIData012	CHA_VERDE	CHA_VERDE_3
CHA_REAL	CHA_REAL	ASCIIData013	CHA_REAL	CHA_REAL
SCIFEE_3	SCIFEE_3	ASCIIData014	SCIFEE	SCIFEE_3
MATE_3	MATE_3	ASCIIData015	MATE	MATE_3
MATE_2	MATE_2	ASCIIData016	MATE	MATE_2
SCIFEE_2	SCIFEE_2	ASCIIData017	SCIFEE	SCIFEE_2
CHIMARRÃO_2	CHIMARRÃO_2	ASCIIData018	CHIMARRÃO	CHIMARRÃO_2
CHA_VERDE_2	CHA_VERDE_2	ASCIIData019	CHA_VERDE	CHA_VERDE_2
MATE_1	MATE_1	ASCIIData020	MATE	MATE_1
SCIFEE_1	SCIFEE_1	ASCIIData021	SCIFEE	SCIFEE_1
CHIMARRÃO_1	CHIMARRÃO_1	ASCIIData022	CHIMARRÃO	CHIMARRÃO_1
CHA_VERDE_1	CHA_VERDE_1	ASCIIData023	CHA_VERDE	CHA_VERDE_1

